id	comments	Missing_or_Delivery	Tasty	Positioning	Advice	Promotion_react	Valuation	Gratitude	Advocating	Complain	Junk
124149619252_10151024826814253	"Veggie Salad - romaine, brown rice, black beans, mild and medium salsa, guacamole and dressing. Best vegan meal :)"	0	1	0	0	0	0	0	0	0	0
124149619252_10153656854824253	"I also wish they would take out the red onions, that's the only reason I won't get guac because otherwise I love guac!"	0	0	0	1	0	0	0	0	0	0
124149619252_10152786808474253	"Only 2 people got something other than carnitas, and one of them got ""2 carnitas tacos, 1 chicken"" lol...."	0	0	0	0	0	0	0	0	0	1
124149619252_10151024826814253	"Bowl:white rice, fajita veggies, steak, mild salsa, cheese, sour cream, and lettuce. Yummy had one today."	0	1	0	0	0	0	0	0	0	0
124149619252_10152108930454253	"I am so saddened to know that in 9 minutes, I will NOT be enjoying a delicious burrito from the Chipotle Mexican Grill that resides across the street from me.  Why 2014... WHY must you begin with an absence of GREATNESS?!?!     :'("	1	0	0	0	0	0	0	0	0	0
124149619252_10151486609219253	"Sadly the last burrito I bought from Chipotle near my house was TERRIBLE! I used to LOVE them, but this one was tiny, hardly any steak, rice, or beans.. And it didn't have the same great spicey flavor that I used to love! What happened guys? Budget cuts?"	1	0	0	0	0	0	0	0	0	0
124149619252_10153083685269253	Too bad their salasa doesn't look like this anymore! Their new salsa tastes and looks like it came a jar from the grocery store :-(	0	0	0	0	0	0	0	0	1	0
124149619252_163075200578	I wish there was a Chipotle here in the Amarillo Texas area. I'm from Denver and I love this restaurant	1	0	0	0	0	0	0	0	0	0
124149619252_10153066985824253	Fargo never had a Chipotle until now? Lol.. For real? In St. Paul there are like 5 close to me. Probably 20+ in the metro.	1	0	0	0	0	0	0	0	0	0
124149619252_10153009001449253	"Open the store here in Amarillo already! It's been a year now. It's built, there stuff inside. Just open the thing already."	1	0	0	0	0	0	0	0	0	0
124149619252_10151486609219253	"In all seriousness... Bowl with white rice, black beans, fajitas, mild salsa, guac, lettuce.  GF/DF and delicious!"	0	1	0	0	0	0	0	0	0	0
124149619252_10153262094399253	"Timothy funny that when I asked for the recipe a few years ago because I thought I was allergic to something in their guac, they told me it was a secret recipe and could not tell me. now they are telling the world."	0	0	0	0	0	0	0	0	0	1
124149619252_10151024826814253	"Chicken, brown rice, black beans, tomato, corn, and lettuce. Burrito and burrito bowl- mix em up lol "	0	1	0	0	0	0	0	0	0	0
124149619252_105860719543628	for Emma Canto Felicia Mabe Leah Stulich Laura Dailing Rice Jena Marie Heather Narvell....don't miss it!  lol	0	1	0	0	0	0	0	0	0	0
124149619252_10153888324619253	Please send me my Chipotle loyalty rewards card. I eat Chipotle chicken burrito bowl every other day.	0	1	0	0	0	0	0	0	1	0
124149619252_182076481805338	"Can he test market at my Chipotle in Alpharetta, GA?   I am a Master Burrito Ambassador and would love to taste test any new samples... been doing it every week for the past 9 years+."	1	0	0	0	0	0	0	0	0	0
124149619252_10153009001449253	I bet almost all these people complaining about the tofu have poor eating habits and are malnourished in one way or another ????  Just cause this is 'MURIKA doesn't mean you should treat your body like a waste bin ????	0	0	0	0	0	0	0	0	0	1
124149619252_10152453918534253	"Got Chipotle from Deer Park the other night. Rude staff and my veg burrito bowl was gross. Ended up throwing most of it away. Used to love your food but for the price, it's not worth it anymore."	0	0	0	0	0	0	0	0	1	0
124149619252_199537401806	"still waiting on the very practical Ithaca, New York.  Ithaca College, Cornell University, bunch of old school hippies.  It all makes sense."	1	0	0	0	0	0	0	0	0	0
124149619252_10151024826814253	"Salad, lite rice, pork, fresh tomatoes, corn salsa, sour cream and lots of lettuce. Oh, and a tortilla on the side. I luv my Chipotle. I loved it in NY.  When I moved here to OH in 09' and found the Chipotle around the block from my new apartment, I knew I was home."	0	1	0	0	0	0	0	1	0	0
124149619252_341532579201452	"You need to have more options available for those with dietary restrictions (like brown rice, no cheese, bowl, etc)."	0	0	0	1	0	0	0	0	0	0
124149619252_10152250518069253	All you people are fools. If you did not see Chipotle as the link then you shouldn't have believed it. #SHEEP #FREELOADERS	0	0	0	0	0	0	0	0	0	1
124149619252_10151486609219253	"Variety of meats depends , rice type depends on day, beans depends,  red & green &  hot & corn salsa, lettuce, and finally  guacamole I am okay with it being extra."	0	1	0	0	0	0	0	0	0	0
124149619252_10151719407409253	"I tried using google three times and it didn't work. Went to IE, and it worked. I've had issues with adventurrito since minute one. Definitely, not user friendly or tech friendly."	0	0	0	0	0	0	0	0	0	1
124149619252_10152250518069253	"Thanks Beth Hersey- Leamon! I would've felt silly going in there and showing them that. Lisa Leeper, you should check this out"	0	0	0	0	0	0	0	0	0	1
124149619252_10153009001449253	"Having my Sofritas bowl as I type... Can't taste any difference, it's actually good! My 13 yr old son who is rather picky liked it too....   Said he liked it better than when I get it with chicken."	0	1	0	0	0	0	0	0	0	0
124149619252_10151961054499253	"hey nestor, yeah we are not gmo free yet, we have sunflower oil and soybean oil in our restaurant. our soybean oil, which is in most of our food items, IS NOT gmo free. but the company is working its way toward gmo free"	0	0	1	0	0	0	0	0	0	0
124149619252_10153009001449253	"Like so many others, I waited in a long line only to be told they were out of sofritas. The girl said I could get another kind of meat. I'm long vegetarian, the ONLY reason I went out of my way to go to Chipotle was to try the sofritas.  Sorry guys, I'm no longer interested and won't be back no matter what specials you offer."	1	0	0	0	0	0	0	0	1	0
124149619252_160584150738666	"put one in Copenhagen and Stockholm please!! They have no Mexican there at all and when i go to visit family, I am always so excited to come home and have Chipotle!"	0	0	0	0	0	0	0	1	0	0
124149619252_10153009001449253	"FALSE advertising. We DID order the Sofritas,  they told us they were sold out and the counter guy said they wouldn't honor the free burrito promotion deal from our alternate order!  Boo!  #chipotlefail"	0	0	0	0	1	0	0	0	1	0
124149619252_10150719072154253	"Um, Easter is for all believers. Catholic has nothing to do with it. Even more so it symbolizes Christ's sacrifice for us that we may now have full access to God. No more earthly priests or sacrifices. Just us and God!"	0	0	0	0	0	0	0	0	0	1
124149619252_10151809543439253	"Ooo!  Can I use my weekly free burrito coupon for one, since I won the 20 years of free burritos?  Wait...I did win the 20 years of free burritos, didn't I?"	0	0	0	0	1	0	0	0	0	0
124149619252_10152632602189253	"Jeff Kalsbeek, Phil Hohner...I bet you guys can guess which one reminded me of you!! Lol miss you fools!"	0	0	0	0	0	0	0	0	0	1
124149619252_10153246130479253	So either it's not really GMO free (good luck finding non GMO corn) or they somehow are growing their own non GMO corn and their prices are going to go through the roof. This is a marketing move. Nothing more.	0	0	1	0	0	0	0	0	0	0
124149619252_10151024826814253	"stop calling the pico hot sauce and i will come back! it drives me freakin nuts. every time i used to go in i would be like, ""hot sauce please."" they always would respond, ""mild, medium, and hot"" where the frick is mild? oh, you mean pico de gallo, you're an idiot..."	0	0	0	0	0	0	0	0	1	0
124149619252_10153009001449253	Great idea... But you're sold out of sofritas at 3:30 pm! One very unhappy customer! Please plan better next time you attempt a promotion.	0	0	0	0	1	0	0	0	1	0
124149619252_156053474470	you should deliver in fresno california because i would have chipotle a lot more and i know my friends would do the same	1	0	0	1	0	0	0	0	0	0
124149619252_10151307314369253	I love it! This is yet another reason why Chipotle is my favorite (with no second choice anywhere close) restaurant!! Well done.	0	0	0	0	0	0	0	1	0	0
124149619252_199537401806	"EVERYWHERE!!!! Chipotle should be like starbucks - one on every corner!!!   Please put one in Livermore, CA! We have an adorable downtown that needs a burrito landing!"	1	0	0	0	0	0	0	0	0	0
124149619252_10152250518069253	"What kills me is that you all get mad for not getting a free gmo burrito and not that is got gmo products, humanity is getting to Idiocracy levels..."	0	0	1	0	1	0	0	0	0	0
124149619252_10153489422339253	The Dark Act is passing through the Senate. This will remove all ingredient lists from our food. DARK - Denying Americans the Right to Know. We must stop this! Call your Senators!!  GMO FREE USA	0	0	1	0	0	0	0	0	0	0
124149619252_10152571682409253	"I want Chipotle. If they weren't closed at 10, when I get out of work, I'd totally go eat there in a few lol."	0	0	0	0	0	0	0	1	0	0
124149619252_10153009001449253	"I will continue to support this amazing company for their humane business practice in terms of obtaining meat from responsible producers. I love the softritas, so thanks Chipotle for offering us vegetarians a great option to meat. It's really good!"	0	0	0	0	0	0	1	1	0	0
124149619252_10153246130479253	"Last I checked, you are still serving Coke made from HFCS from GMO corn.  Go all the way, or go home."	0	0	1	0	0	0	0	0	0	0
124149619252_10153830182809253	"So if Chipotle is closing February 8th to teach employees better food handling, does this mean It's really not important? This should be done ASAP not a month + later. Should have done it all along."	0	0	0	1	0	0	0	0	0	0
124149619252_10152262999499253	"...how are you mad about this? You can still eat your meat, just dont eat this. I for one am happy to see a chain like you supporting the need for alternative options, thank you :)"	0	0	0	0	0	0	1	1	0	0
124149619252_10152104828699253	I have to Travel 6 hours to my nearest Chipotle Mexican Grill and have done it many times Please bring some to Canada! Thank You	1	0	0	0	0	0	0	0	0	0
124149619252_109031815838831	"I got a free pop once. But several 3 burrito weeks in a row didn't earn me a free one in Parma, OH :("	0	0	0	0	1	0	0	0	0	0
124149619252_122372141178171	"I'm indifferent about Jamie Oliver, I agree that school lunches need to be healthier, but seriously removing flavored milk from schools is not the right answer, study after study shows that when chocolate milk is removed as an option overall consumption of milk decreases. In addition the benefits of milk, especially at that age, outweigh the added sugar. I think its best to have kids drink milk of any variety that has nutritional value vs. the alternative which is sugary juices and soda."	0	0	0	0	0	0	0	0	0	1
124149619252_10150719072154253	It's nice to give your families a day of to spend with there families. Not just Catholics celebrate easter Sunday. 	0	0	0	0	0	0	0	0	0	1
124149619252_10152407734029253	"Good luck waiting for the police, signs and corporate policies won't do much against a madman. http://youtu.be/e9NDnqS5h9k"	0	0	0	0	0	0	0	0	0	1
124149619252_115365598544868	"You know if you want a standard ""consistent size"" of food when you go just tell the person how you want it done. Ex. Less rice & more tomatos instead of being rude & being on the phone or ignoring the staff!!!  Never ever had a problem, ask & you shall receive!!"	0	0	0	0	0	0	0	0	0	1
124149619252_10151024826814253	Burrito in a bowl chicken or pork lettuce veggie white rice cheese corn salsa extra sour crem chips and salsa and a soda yummy	0	1	0	0	0	0	0	0	0	0
124149619252_199537401806	"Brainerd mn, I work at taco bell but I have to drive over an hour and a half for my beloved chipotle!"	0	0	0	0	0	0	0	1	0	0
124149619252_10151024826814253	"After the newest Chipotle in town mistreated us , lied and then mistreated us again never ever again."	0	0	0	0	0	0	0	0	1	0
124149619252_10150732816629253	Started from the bottom and now you guys are taking over. I freaking love your place. Keep up the good work	0	0	0	0	0	0	0	1	0	0
124149619252_10152262999499253	Yeah and now I can't go anymore :( this is what happens to all your number one customers who previously came to a SOY FREE resteraunt with a soy allergy	0	0	0	0	0	0	0	0	1	0
124149619252_10153246130479253	"But you still serve a soy-based alternative which is not only GMO,  but which few of your stores do anything to prevent cross contamination.  Soy is one of the.top food allergies, and due to the lack of training it is not safe for people with soy or peanut allergies to eat at chipotle as the ""meat substitute"" can easily contaminate all other products."	0	0	1	0	0	0	0	0	1	0
124149619252_194708182065	"Wow, I feel spoiled to have 3 locations within 15 minutes from my apartment. Franchises need to happen !"	0	0	0	0	0	0	0	1	0	0
124149619252_10153602183249253	"I can't believe how dumb people are. If you believed this, please avoid the voting booths when the time comes, because you are what's wrong with this country"	0	0	0	0	0	0	0	0	0	1
124149619252_10153656854824253	I need to talk to the people at the market- that i need our avocados to look just like that Richard SubZero Vilabrera Jr.	0	0	0	0	0	0	0	0	0	1
124149619252_10151058843154253	When will you ever come to Germany? We have our fill of bad Mexican restaurants and fast-food joints here!	0	0	0	0	0	0	0	0	0	1
124149619252_10153246130479253	"Too bad no one at Chipotle has taken any basic science classes.  If you don't want to eat GMO food, you will starve to death.  Hey Chipotle, good to know you can be so easily blackmailed by people who are willfully stupid."	0	0	1	0	0	0	0	0	0	0
124149619252_10153240834269253	"Ugh.  All food is ""genetically altered"".  Another misleading headline and company bowing to Big Organic and it's minions."	0	0	0	0	0	0	0	0	1	0
124149619252_10151089035244253	"University of Dayton, Brown St. Friendly staff, warm and fresh food, nice portions, and the customers are the most diverse in Dayton."	1	0	0	0	0	0	0	0	0	0
124149619252_10153246130479253	"GMOS are not simply hybrid crops.. Do your research. If you want to be informed, be all the way informed."	0	0	1	0	0	0	0	0	0	0
124149619252_10151058843154253	"Congratulations Chipotle.  Great food, good staff and Environmentally efficient buildings. You guys set the mark for the rest."	0	0	0	0	0	0	1	1	0	0
124149619252_10153888324619253	"Chipotle Mexican Grill, I got my text yesterday but had to do a factory restore on my phone today.  Any way to get it resent?"	0	0	0	0	0	0	0	0	0	1
124149619252_10152406485254253	The funniest thing of it all is everyone is acting like chipotle is great food. It's not. Add salsa to any Mexican based dish and it's ok.	0	0	0	0	0	0	0	0	1	0
124149619252_10151908068909253	I remember when it used to be free if you dressed up like a Chipotle item. This is still a good deal:)	0	0	0	1	0	0	0	0	0	0
124149619252_10153246130479253	US forced to import organic corn and soy to meet growing Non GMO demands. Where's the Farm Babe now?....lol.  http://www.cornucopia.org/2015/04/u-s-forced-to-import-corn-as-shoppers-demand-organic-food/	0	0	1	0	0	0	0	0	0	0
124149619252_10151089035244253	"The current Uptown Albuquerque location (6810 Menaul Blvd. NE) is great, with fast, friendly service. Can't wait for the other two Albuquerque locations under construction to actually open!!!"	1	0	0	0	0	0	0	0	0	0
124149619252_10151024826814253	"Crispy chicken tacos:  brown rice, chicken, tomato salsa, corn salsa, lettuce!  guac & chips on the side!"	0	1	0	0	0	0	0	0	0	0
124149619252_10152236327209253	"Thanks, Chipotle! I used to love Qdoba (still delicious) but the ethics of your company are top-notch. Encouraging all of my friends and family to grab a bite to eat from you guys! Thanks again! (Pittsburgh, PA)"	0	0	0	0	0	0	1	0	0	0
124149619252_10153489055424253	If you haven't apologized to your girlfriend or wife with Chipotle Mexican Grill and roses you're wrong.	0	0	0	0	0	0	0	1	0	0
124149619252_156053474470	"I just can't wait till next fall when there is a Chipotle here at Virginia Tech, making the college ranked #1 for food in the nation even better :)"	1	0	0	0	0	0	0	0	0	0
124149619252_10152250518069253	"Wow! There's some serious bile being spewed in the comments... I'm over here thinking, ""... drag"" and other people are saying they won't go back to Chipotle because SOMEONE ELSE posted a scam on Facebook!?"	0	0	0	0	0	0	0	0	0	1
124149619252_10150256700954253	"I so want a Chipotle near Clarion, PA (I-80).  I used to go to the original by DU in Denver...those were the days!"	1	0	0	0	0	0	0	0	0	0
124149619252_10151024826814253	"Chicken bowl, white rice, pinto beans, hot red sauce, lettuce, guac, sour cream, & cheese... Tabasco chipotle & lemon on the side. With chips... deeeelish."	0	1	0	0	0	0	0	0	0	0
124149619252_10151024826814253	"chicken, lettuce,onion,green peppers,black beans, fresh salsa, cheese, sour cream and guacamole plus  chips"	0	1	0	0	0	0	0	0	0	0
124149619252_10153246130479253	"If you want to eat gmos folks, shut up and eat em. A lot of us don't and we shouldn't be rediculed for feeling that way."	0	0	1	0	0	0	0	0	0	0
124149619252_10152949800154253	No more Chipotle for this family.  Your employees are the face of your business.  No thanks.  We will just go somewhere else from now on.	0	0	0	0	0	0	0	0	1	0
124149619252_10153246130479253	"Thank you for doing this. Wish we had stricter requirements in the US, glad you didn't have to be told but took the initiative. You have my business"	0	0	0	0	0	0	1	1	0	0
124149619252_109031815838831	"I meet my husband at the same Chipotle for lunch at least once a week.  Frequently more often.  We eat dinner at the one near our house frequently.  Never, ever, ever have we been offered a free meal. :(  What's the secret??  We eat there so often that we know which employees work at the various locations.  Oh well.  Got read the riot act about needing to cut down on sodium so we'll probably have to cut out way back on Chipotle, but it is good."	0	0	0	0	1	0	0	0	1	0
124149619252_10153009001449253	Thanks Chipotle for offering a promotion on ONE item and then not having enough to get through the day.  VERY disappointed.  :(	0	0	0	0	1	0	0	0	1	0
124149619252_247886528567719	the chipotle at arundel mills is AMAZING!!! and the manager is the besttttt!!!! i go there all the time just for chipotle!!!! yummmm	0	1	0	0	0	0	0	0	0	0
124149619252_10152250518069253	Jason Angus sorry! I really just saw it and figured it was true. Why they do that I don't understand.	0	0	0	0	0	0	0	0	0	1
124149619252_10151267410249253	My daughter LOVE'S Chipotle. She could eat it everyday for dinner. But that could get alittle expensive. 	0	0	0	0	0	0	0	1	0	0
124149619252_10153246130479253	Laughing while reading comments of people that are supposedly upset that gmo's are being removed from Chipotle because they supposedly want gmo in their food because supposedly gmo's are safe LOL your not fooling anyone.	0	0	1	0	0	0	0	0	0	0
124149619252_10152840149194253	"OH, Nicole Cartica / Josh. Now I have to go tomorrow. I was thinking about it anyway since I will be in the mall."	0	0	0	0	0	0	0	0	0	1
124149619252_163075200578	Finally a Chipotle near my house! Thanks chipotle for making all that money for me. I have to buy more stock!	0	0	0	0	0	1	1	0	0	0
124149619252_10152408378957741	"Only restaurant we have allowed my 2 year old daughter with severe allergies to milk, egg, and peanuts eat. Thank you!"	0	0	0	0	0	0	1	0	0	0
124149619252_199537401806	OMG YEEESS!!!! I've been complaining about there being no Chipotle since I moved to the area!! Greatest news ever!! 	0	0	0	0	0	0	0	1	0	0
124149619252_10152996855759253	"Just learned your suspend Pork Carnitas because your vendor violated your ""raised responsibly"" standards. Thank you for putting high food standards and doing the right thing over profits. You have my business. Looks like a burrito today for me."	0	0	0	0	0	0	1	1	0	0
124149619252_10153257383459253	"If you were truly about helping others, you wouldn't have removed some of your GMO ingredients. I say some, because even though you claimed to remove all of them, you actually didn't."	0	0	1	0	0	0	0	0	0	0
124149619252_10152084246179253	I am restaurateur and it's an amazing company to work for. Sorry to everyone that have applied and not been hired. Keep applying you guys will get your shot next. Sometimes chipotle is not for everyone but if hired make the best out of it you'll learn a lot .	0	0	0	0	0	0	0	1	0	0
124149619252_379758315393214	"They'll get enough $ to buy themselves burritos. Ill use the gift card money to buy me own burrito! CONGRATS NESTOR, YOU SOLVED YOUR HUNGER!"	0	0	0	0	0	0	0	0	0	1
124149619252_10152453918534253	Don't be cheap with the chicken!  I've given you guys a long break and I'm not sure if I'll ever come back again.	0	0	0	0	0	0	0	0	1	0
124149619252_105860719543628	I can care less about the Grammy's but this might be the first time I watch it just to see the commercial!!!!	0	0	0	0	0	0	0	1	0	0
124149619252_194708182065	"I have to second Duluth we have 90,000 people and 4 high schools and 3 colleges... plus you could probably make a profit off of me alone so it wouldn't be a bad decision"	0	0	0	1	0	0	0	0	0	0
124149619252_10152250518069253	"It's a huge bummer. Should honor it anyway. I have never tried there food...always wanted to. Perfect opportunity with this ""coupon"". However, probably will not ever go now."	0	0	0	0	1	0	0	0	1	0
124149619252_10153246130479253	"This place sucks.....if you people think this food is authentic in anyway you are missing out on real Mexican food..... I'm sorry but this place is overrated, and should just close......"	0	0	0	0	0	0	0	0	1	0
124149619252_10151486609219253	"White rice, barbacooooooooa, fajitas, extra cheeeese, and sour cream! :) guac on the side! And those deeelicious chips ;)"	0	1	0	0	0	0	0	0	0	0
124149619252_10153246130479253	So can we get more rice?!? I have to tell the employee to give me extra rice all the time!! ????????????????	0	0	0	0	0	0	0	0	1	0
124149619252_10152883474639253	They are so stingy with there food now and barely give you anything on a bowl and you still pay 7 bucks for it.	0	0	0	0	0	0	0	0	1	0
124149619252_10151089035244253	"I love Chipotle, no matter where it is, but my very favorite is in Thornton, CO on 120th. Such good food and friendly staff! The Toledo, Ohio store was pretty wonderful, too."	1	0	0	0	0	0	0	1	0	0
124149619252_10151024826814253	"bowl, brown rice, black beans, chicken x2, mild salsa, cheese and sour cream. tortilla on the side. BAM!!!!"	0	1	0	0	0	0	0	0	0	0
124149619252_10151024826814253	"I like the Veggie Burrito BOwl: brown rice, black beans, lettuce, cheese, & a lil bit of each salsa. Oh & guacamole on top. YUM!!! :)"	0	1	0	0	0	0	0	0	0	0
124149619252_105860719543628	"I had the privilege of being an employee during my college career. I always loved and made others love and respect the fact that you're only real promoting was through your customers. However when the first radio ads started airing, I was impressed still. I can count on that the coming TVs ads will be funny, quirky, intelligent and everything Chipotle is!! I will love you forever. <3"	0	0	0	0	0	0	0	1	0	0
124149619252_10151024826814253	"Started off with a spoonful of rice..black beans make it taste real nice..half barbacoa and the other half pollo..that's chicken in case you ain't know so, on to the pico hot salsa and corn..cheese, lettuce sour cream and joy is born..yeah I could've had a real bad day, til I opened up the fridge and saw the leftover Chipotle! http://www.reverbnation.com/open_graph/song/13386575"	0	1	0	0	0	0	0	0	0	0
124149619252_10150256700954253	Chipotle Rules and they are doing it right with FWI... The most awesome FOOD EVER....Happy Birthday Chipotle :)	0	0	0	0	0	0	0	1	0	0
124149619252_10153388589524253	Just work on getting the pork back :'( haven't been since I tried the tofu and it tasted like a spicy couch cushion	0	0	0	0	0	0	0	0	1	0
124149619252_190952584702	I was trying to think of what I wanted for lunch.And because i saw this posts it's gonna be chipotle.Good timing.	0	0	0	0	0	0	0	1	0	0
124149619252_10152250518069253	@Dylan Ward Think Joe is a stand up guy. FB page you always get an answer to your questions. He is well connected enough to get answers to tough questions. Lot of companies delete comments off their social media pages	0	0	0	0	0	0	0	0	0	1
124149619252_10151024826814253	"Bowl with brown rice! Fajita and black beans, chicken, even though chipotle SKIMPS HARD on the meat, all the salsas, guacamole and lettuce. Note, you skimp hard on the meats! Step your game up chipotle!"	0	1	0	0	0	0	0	0	0	0
124149619252_10151024826814253	"quesarito with extra rice, black beans, fajitas, steak, mild, green chili, corn, sour cream, and lettuce."	0	1	0	0	0	0	0	0	0	0
124149619252_10151024826814253	"Chicken Bowl, brown rice, black beans, double fajita, guac, sour cream, cheese, pico, and corn on the side!"	0	1	0	0	0	0	0	0	0	0
124149619252_10150256700954253	For your birthday I'm going to give you $10.57 as your lil helper hands me a carnitas burrito and I slap some smoked chipotle tabasco sauce on there and SIP my Dr. Pepper while i read the wisdom on the side of the cup. What a good birthday it will be for both you and for me.	0	1	0	0	0	0	0	0	0	0
124149619252_10153212525009253	"Oh my god I love chipotle, chipotles my life!!! Maria MacIntoshGracie WashburnKenny Von Wolfgang FrankensteinCody CampSpencer Eisner"	0	0	0	0	0	0	0	1	0	0
124149619252_10152753260084253	Preparing food with gloves is yuck!  Why do I want rubber touching my food?  :P  just teasing you Michelle Williiams.	0	0	0	0	0	0	0	0	1	0
124149619252_10151024826814253	"Chicken burrito with rice, pinto and black beans, chicken, mild and hot salsas, sour cream, cheese, a little lettuce and depending on my mood, guacamole!! Yummy!! :D"	0	1	0	0	0	0	0	0	0	0
124149619252_10153528761379253	"Why didn't festival organizers cancel one of the other bands or shorten their sets to make sure the headliner could play? Everyone knew it was supposed to storm at 5pm. My 6 year old, husband and I stood for 7 hrs to see WTM for his first concert,  only to have it canceled.  Total bummer:("	0	0	0	0	0	0	0	0	0	1
124149619252_10153543212484253	"Just ate a Chipotle bowl hubby brought home. Yum. Cleaner ingredients! less worry than other taco places that use GMO corn, oils and guarantee meat loaded with chemicals, antibiotics & fed pesticides & GMO feed."	0	1	1	0	0	0	0	0	0	0
124149619252_10151024826814253	I have celiac disease so I get a yummy chicken bowl with just rice and beans.  Kudos to Chipotle for making it easier to eat out for celiacs!	0	1	0	0	0	0	0	0	0	0
